%% File generated by CATS v.2.1Mon Aug 19 19:12:13 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 20; Bids: 800; Distribution: matching; Runs: 10; Seed: 1566250953
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 20
bids 804
dummy 257

0	9967	2	16	#
1	2758	2	5	21	#
2	2483	2	9	21	#
3	2234	2	13	21	#
4	2758	6	9	21	#
5	2483	6	13	21	#
6	2758	10	13	21	#
7	5525	1	12	22	#
8	3729	1	16	22	#
9	4144	5	16	22	#
10	4890	4	17	25	#
11	441	15	17	97	#
12	6521	0	13	25	#
13	4401	0	17	25	#
14	925	11	13	26	#
15	624	11	17	26	#
16	694	15	17	26	#
17	3739	10	13	27	#
18	2524	10	17	27	#
19	2804	14	17	27	#
20	3797	6	9	28	#
21	2563	6	13	28	#
22	2306	6	17	28	#
23	2847	10	13	28	#
24	2563	10	17	28	#
25	2847	14	17	28	#
26	5641	0	13	29	#
27	5077	0	17	29	#
28	5641	4	17	29	#
29	4515	5	16	33	#
30	5855	2	5	31	#
31	3952	2	9	31	#
32	3557	2	13	31	#
33	3201	2	17	31	#
34	4391	6	9	31	#
35	3952	6	13	31	#
36	3557	6	17	31	#
37	4391	10	13	31	#
38	3952	10	17	31	#
39	4391	14	17	31	#
40	4342	5	16	56	#
41	6020	1	12	33	#
42	4064	1	16	33	#
43	1444	7	9	35	#
44	974	7	13	35	#
45	877	7	17	35	#
46	1083	11	13	35	#
47	974	11	17	35	#
48	1083	15	17	35	#
49	3960	2	5	36	#
50	3564	2	9	36	#
51	3207	2	13	36	#
52	3960	6	9	36	#
53	3564	6	13	36	#
54	3960	10	13	36	#
55	791	9	15	37	#
56	534	9	19	37	#
57	594	13	19	37	#
58	709	1	7	38	#
59	638	1	11	38	#
60	574	1	15	38	#
61	709	5	11	38	#
62	638	5	15	38	#
63	709	9	15	38	#
64	3496	1	12	40	#
65	3147	1	16	40	#
66	3496	5	16	40	#
67	6560	0	19	#
68	3412	1	12	42	#
69	3070	1	16	42	#
70	3412	5	16	42	#
71	3119	1	6	44	#
72	2105	1	10	44	#
73	1895	1	14	44	#
74	1705	1	18	44	#
75	2339	5	10	44	#
76	2105	5	14	44	#
77	1895	5	18	44	#
78	2339	9	14	44	#
79	2105	9	18	44	#
80	2339	13	18	44	#
81	6247	1	12	48	#
82	5623	1	16	48	#
83	6247	5	16	48	#
84	5848	1	6	49	#
85	3947	1	10	49	#
86	3553	1	14	49	#
87	3197	1	18	49	#
88	4386	5	10	49	#
89	3947	5	14	49	#
90	3553	5	18	49	#
91	4386	9	14	49	#
92	3947	9	18	49	#
93	4386	13	18	49	#
94	6894	0	13	50	#
95	6204	0	17	50	#
96	6894	4	17	50	#
97	4493	1	12	53	#
98	3033	1	16	53	#
99	3370	5	16	53	#
100	1111	9	15	54	#
101	750	9	19	54	#
102	833	13	19	54	#
103	6456	4	17	102	#
104	4342	1	12	56	#
105	3908	1	16	56	#
106	592	7	9	57	#
107	400	7	13	57	#
108	360	7	17	57	#
109	444	11	13	57	#
110	400	11	17	57	#
111	444	15	17	57	#
112	5214	9	14	58	#
113	3519	9	18	58	#
114	3910	13	18	58	#
115	1234	1	7	60	#
116	833	1	11	60	#
117	749	1	15	60	#
118	675	1	19	60	#
119	925	5	11	60	#
120	833	5	15	60	#
121	749	5	19	60	#
122	925	9	15	60	#
123	833	9	19	60	#
124	925	13	19	60	#
125	732	3	5	61	#
126	659	3	9	61	#
127	593	3	13	61	#
128	732	7	9	61	#
129	659	7	13	61	#
130	732	11	13	61	#
131	6088	1	12	62	#
132	4109	1	16	62	#
133	4566	5	16	62	#
134	5217	10	13	63	#
135	3522	10	17	63	#
136	3913	14	17	63	#
137	1486	11	13	64	#
138	1003	11	17	64	#
139	1115	15	17	64	#
140	4781	1	6	65	#
141	4303	1	10	65	#
142	3872	1	14	65	#
143	4781	5	10	65	#
144	4303	5	14	65	#
145	4781	9	14	65	#
146	4162	0	13	69	#
147	2809	0	17	69	#
148	3121	4	17	69	#
149	2391	5	10	71	#
150	1614	5	14	71	#
151	1452	5	18	71	#
152	1793	9	14	71	#
153	1614	9	18	71	#
154	1793	13	18	71	#
155	625	3	5	72	#
156	422	3	9	72	#
157	380	3	13	72	#
158	342	3	17	72	#
159	469	7	9	72	#
160	422	7	13	72	#
161	380	7	17	72	#
162	469	11	13	72	#
163	422	11	17	72	#
164	469	15	17	72	#
165	6043	10	13	73	#
166	4079	10	17	73	#
167	4532	14	17	73	#
168	4265	2	5	75	#
169	2879	2	9	75	#
170	2591	2	13	75	#
171	2332	2	17	75	#
172	3198	6	9	75	#
173	2879	6	13	75	#
174	2591	6	17	75	#
175	3198	10	13	75	#
176	2879	10	17	75	#
177	3198	14	17	75	#
178	1039	5	11	76	#
179	701	5	15	76	#
180	631	5	19	76	#
181	779	9	15	76	#
182	701	9	19	76	#
183	779	13	19	76	#
184	5925	0	13	79	#
185	3999	0	17	79	#
186	4444	4	17	79	#
187	4616	1	12	80	#
188	3116	1	16	80	#
189	3462	5	16	80	#
190	3365	0	13	81	#
191	2272	0	17	81	#
192	2524	4	17	81	#
193	3317	9	14	82	#
194	2239	9	18	82	#
195	2488	13	18	82	#
196	1047	1	7	84	#
197	706	1	11	84	#
198	636	1	15	84	#
199	572	1	19	84	#
200	785	5	11	84	#
201	706	5	15	84	#
202	636	5	19	84	#
203	785	9	15	84	#
204	706	9	19	84	#
205	785	13	19	84	#
206	2692	9	14	87	#
207	1817	9	18	87	#
208	2019	13	18	87	#
209	774	11	13	91	#
210	523	11	17	91	#
211	581	15	17	91	#
212	6322	6	9	92	#
213	4267	6	13	92	#
214	3841	6	17	92	#
215	4742	10	13	92	#
216	4267	10	17	92	#
217	4742	14	17	92	#
218	5881	0	13	94	#
219	5293	0	17	94	#
220	5881	4	17	94	#
221	4618	5	16	252	#
222	588	7	9	97	#
223	397	7	13	97	#
224	357	7	17	97	#
225	441	11	13	97	#
226	397	11	17	97	#
227	3452	0	13	98	#
228	3106	0	17	98	#
229	3452	4	17	98	#
230	10117	0	18	#
231	6456	0	13	102	#
232	5810	0	17	102	#
233	1553	11	13	103	#
234	1048	11	17	103	#
235	1165	15	17	103	#
236	5742	0	13	104	#
237	5168	0	17	104	#
238	5742	4	17	104	#
239	5167	1	12	105	#
240	3488	1	16	105	#
241	3875	5	16	105	#
242	1903	1	6	106	#
243	1713	1	10	106	#
244	1542	1	14	106	#
245	1903	5	10	106	#
246	1713	5	14	106	#
247	1903	9	14	106	#
248	1237	5	11	107	#
249	835	5	15	107	#
250	752	5	19	107	#
251	928	9	15	107	#
252	835	9	19	107	#
253	928	13	19	107	#
254	1182	5	11	108	#
255	798	5	15	108	#
256	718	5	19	108	#
257	886	9	15	108	#
258	798	9	19	108	#
259	886	13	19	108	#
260	4933	1	12	109	#
261	4440	1	16	109	#
262	4933	5	16	109	#
263	5326	6	9	110	#
264	3595	6	13	110	#
265	3235	6	17	110	#
266	3994	10	13	110	#
267	3595	10	17	110	#
268	3994	14	17	110	#
269	6098	1	6	111	#
270	4116	1	10	111	#
271	3705	1	14	111	#
272	3334	1	18	111	#
273	4574	5	10	111	#
274	4116	5	14	111	#
275	3705	5	18	111	#
276	4574	9	14	111	#
277	4116	9	18	111	#
278	4574	13	18	111	#
279	2189	6	9	112	#
280	1477	6	13	112	#
281	1330	6	17	112	#
282	1641	10	13	112	#
283	1477	10	17	112	#
284	1641	14	17	112	#
285	4813	2	5	113	#
286	3249	2	9	113	#
287	2924	2	13	113	#
288	2632	2	17	113	#
289	3610	6	9	113	#
290	3249	6	13	113	#
291	2924	6	17	113	#
292	3610	10	13	113	#
293	3249	10	17	113	#
294	3610	14	17	113	#
295	3768	9	14	114	#
296	2544	9	18	114	#
297	2826	13	18	114	#
298	6696	0	13	115	#
299	4520	0	17	115	#
300	5022	4	17	115	#
301	1432	11	13	116	#
302	967	11	17	116	#
303	1074	15	17	116	#
304	1072	11	13	117	#
305	724	11	17	117	#
306	804	15	17	117	#
307	6349	0	13	118	#
308	5714	0	17	118	#
309	6349	4	17	118	#
310	3284	0	13	119	#
311	2955	0	17	119	#
312	3284	4	17	119	#
313	435	1	7	120	#
314	392	1	11	120	#
315	353	1	15	120	#
316	435	5	11	120	#
317	392	5	15	120	#
318	435	9	15	120	#
319	3249	10	13	122	#
320	2193	10	17	122	#
321	2437	14	17	122	#
322	1027	11	13	124	#
323	693	11	17	124	#
324	770	15	17	124	#
325	504	3	5	127	#
326	454	3	9	127	#
327	408	3	13	127	#
328	504	7	9	127	#
329	454	7	13	127	#
330	504	11	13	127	#
331	3158	9	14	128	#
332	2131	9	18	128	#
333	2368	13	18	128	#
334	1388	7	9	129	#
335	937	7	13	129	#
336	843	7	17	129	#
337	1041	11	13	129	#
338	937	11	17	129	#
339	1041	15	17	129	#
340	4872	2	5	130	#
341	3289	2	9	130	#
342	2960	2	13	130	#
343	2664	2	17	130	#
344	3654	6	9	130	#
345	3289	6	13	130	#
346	2960	6	17	130	#
347	3654	10	13	130	#
348	3289	10	17	130	#
349	3654	14	17	130	#
350	3492	6	9	131	#
351	2357	6	13	131	#
352	2122	6	17	131	#
353	2619	10	13	131	#
354	2357	10	17	131	#
355	2619	14	17	131	#
356	3005	0	13	132	#
357	2704	0	17	132	#
358	3005	4	17	132	#
359	1467	1	7	133	#
360	990	1	11	133	#
361	891	1	15	133	#
362	802	1	19	133	#
363	1100	5	11	133	#
364	990	5	15	133	#
365	891	5	19	133	#
366	1100	9	15	133	#
367	990	9	19	133	#
368	1100	13	19	133	#
369	1313	7	9	135	#
370	886	7	13	135	#
371	798	7	17	135	#
372	985	11	13	135	#
373	886	11	17	135	#
374	985	15	17	135	#
375	6237	10	13	138	#
376	4210	10	17	138	#
377	4678	14	17	138	#
378	2919	1	6	140	#
379	2628	1	10	140	#
380	2365	1	14	140	#
381	2919	5	10	140	#
382	2628	5	14	140	#
383	2919	9	14	140	#
384	6767	0	13	141	#
385	6090	0	17	141	#
386	6767	4	17	141	#
387	3373	2	5	142	#
388	2277	2	9	142	#
389	2049	2	13	142	#
390	1844	2	17	142	#
391	2530	6	9	142	#
392	2277	6	13	142	#
393	2049	6	17	142	#
394	2530	10	13	142	#
395	2277	10	17	142	#
396	2530	14	17	142	#
397	2653	2	5	143	#
398	1790	2	9	143	#
399	1611	2	13	143	#
400	1450	2	17	143	#
401	1989	6	9	143	#
402	1790	6	13	143	#
403	1611	6	17	143	#
404	1989	10	13	143	#
405	1790	10	17	143	#
406	1989	14	17	143	#
407	3995	0	13	144	#
408	2696	0	17	144	#
409	2996	4	17	144	#
410	784	5	11	145	#
411	529	5	15	145	#
412	476	5	19	145	#
413	588	9	15	145	#
414	529	9	19	145	#
415	588	13	19	145	#
416	3697	0	13	147	#
417	2496	0	17	147	#
418	2773	4	17	147	#
419	4322	2	5	149	#
420	2917	2	9	149	#
421	2626	2	13	149	#
422	2363	2	17	149	#
423	3242	6	9	149	#
424	2917	6	13	149	#
425	2626	6	17	149	#
